ID,MATH,PHY,BIO,ENGLISH
0001,23,31,47,49
0002,63,55,39,47
0003,35,68,30,90
0004,68,55,78,66
0005,53,38,84,60
0006,79,62,64,25
0007,72,26,68,32
0008,42,58,58,20
0009,61,73,44,68
0010,55,69,90,54
0011,46,63,25,42
0012,78,34,71,55
0013,89,63,27,74
0014,25,50,63,82
0015,60,44,60,32
0016,44,73,52,68
0017,68,54,79,26
0018,60,25,42,59
0019,71,52,79,52
0020,35,64,82,86
0021,55,42,29,50
0022,83,26,50,45
0023,49,66,63,88
0024,78,32,73,50
0025,80,42,52,29
0026,60,68,52,26
0027,52,32,49,71
0028,64,29,50,86
0029,52,79,55,50
0030,90,52,66,73
0031,66,58,52,60
0032,52,72,49,50
0033,84,49,55,72
0034,49,63,58,52
0035,60,55,60,68
0036,58,66,52,74
0037,71,58,49,60
0038,52,49,71,66
0039,66,58,72,49
0040,52,60,66,55
0041,72,49,58,63
0042,58,66,49,52
0043,49,52,58,71
0044,63,58,66,49
0045,66,49,52,58
0046,58,52,49,66
0047,52,66,58,49
0048,49,58,52,66
0049,66,52,49,58
0050,58,49,66,52

